request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000.0,2025-08-03,none,"The requested amount is fully affordable today, maintaining the required minimum balance of IDR 24768300.00."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670.0,2026-07-05,none,"The requested amount is fully affordable today, maintaining the required minimum balance of ZAR 20500.00."
request_28,298.67,affordable_later,wait,2024-09-15:1302.4,2024-09-15,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2024-09-15 while maintaining the minimum balance of EUR 1100.00."
request_29,1457.66,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of ZAR 28300.00.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_31,2894443.04,affordable_later,wait,2024-12-17:18164000.0,2024-12-17,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2024-12-17 while maintaining the minimum balance of IDR 16588900.00."
request_32,14175.2,affordable_later,wait,2025-08-20:40018.0,2025-08-20,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2025-08-20 while maintaining the minimum balance of ZAR 35700.00."
request_33,27054.29,affordable_later,wait,2026-04-18:118000.0,2026-04-18,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2026-04-18 while maintaining the minimum balance of INR 102100.00."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400.0,2024-12-04,none,"The requested amount is fully affordable today, maintaining the required minimum balance of INR 138500.00."
request_35,25070.02,affordable_later,wait,2026-03-19:212000.0,2026-03-19,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2026-03-19 while maintaining the minimum balance of INR 106400.00."
request_36,615.13,affordable_later,wait,2026-09-15:3954.0,2026-09-15,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2026-09-15 while maintaining the minimum balance of USD 2400.00."
request_37,4880085.52,affordable_later,wait,2024-08-19:14649000.0,2024-08-19,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2024-08-19 while maintaining the minimum balance of IDR 17056200.00."
request_38,182.82,affordable_later,wait,2025-10-16:971.3,2025-10-16,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2025-10-16 while maintaining the minimum balance of EUR 400.00."
request_39,55426.63,affordable_later,wait,2026-10-18:208600.0,2026-10-18,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2026-10-18 while maintaining the minimum balance of INR 213400.00."
request_40,332.46,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of EUR 1500.00.
request_41,7915614.9,affordable_later,wait,2026-02-16:38760000.0,2026-02-16,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2026-02-16 while maintaining the minimum balance of IDR 25366600.00."
request_42,0.0,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of INR 113100.00.
request_43,8443757.75,affordable_later,wait,2024-11-16:43339000.0,2024-11-16,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2024-11-16 while maintaining the minimum balance of IDR 21398000.00."
request_44,29256.06,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of INR 82900.00.
request_45,3614476.62,affordable_later,wait,2026-09-15:21983000.0,2026-09-15,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2026-09-15 while maintaining the minimum balance of IDR 11149800.00."
request_46,36858.4,affordable_with_plan,partial_payment,2024-12-03:36858.40000000001|2024-12-15:12591.599999999991,2024-12-15,none,"The requested amount cannot be fully paid today without breaching the minimum balance. A partial payment of INR 36858.40 can be made today, with the remainder on 2024-12-15."
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000.0,2025-05-05,none,"The requested amount is fully affordable today, maintaining the required minimum balance of IDR 30049000.00."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700.0,2026-07-25,none,"The requested amount is fully affordable today, maintaining the required minimum balance of INR 71300.00."
request_49,10314482.69,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of IDR 20275700.00.
request_50,0.0,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of INR 99700.00.
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000.0,2026-01-03,none,"The requested amount is fully affordable today, maintaining the required minimum balance of IDR 7811000.00."
